Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Other_All,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Other_All
20210307,SD,113589,84776,2519,4145,1468,13518,0,0,1662,5501,7163,1900,1499,7,23,16,265,0,0,14,76,90
20210307,TN,783484,489782,102220,0,6937,1032,564,0,61751,121198,182949,11547,8730,1994,0,67,9,6,0,385,356,741
20210307,TX,2686818,25581,12672,27728,933,0,0,0,428,2619476,2619904,44451,18276,4252,20453,898,0,0,0,231,341,572
20210307,UT,374850,238411,5001,77215,7107,5016,8931,0,26238,34321,60559,1976,1329,18,282,59,72,57,0,119,119,238
20210307,VA,585700,235269,99166,76875,19984,756,0,5823,15947,131880,153650,9596,6002,2262,640,337,24,0,62,66,203,331
20210307,VT,16083,12735,613,0,746,20,0,0,414,1555,1969,208,185,2,0,5,1,0,0,2,13,15
20210307,WA,344532,96572,10932,62537,12525,3231,3691,5823,3133,146088,155044,5041,3571,161,596,383,107,81,59,71,12,142
20210307,WI,621654,481041,40549,0,15553,7580,0,0,34002,42929,76931,7106,6144,478,0,127,97,0,0,106,154,260
20210307,WV,133445,111202,4623,0,0,0,0,0,3092,14528,17620,2325,2049,57,0,0,0,0,0,34,185,219
20210307,WY,54764,28117,425,4134,281,2250,134,0,1726,21292,23018,682,606,2,58,6,51,1,0,8,11,19
